ID,Name,Pop,GRP,Unemployment,Revenue,ForestCoverage
1,Anhui,6.255,2.7018,2.9,2.81245,2.75
2,Beijing,2.171,2.801494,1.4,5.43079,3.58
3,Chongqing,3.075,1.942473,3.4,2.25238,3.84
4,Fujian,3.911,3.218209,3.9,2.80903,6.6
5,Gansu,2.626,0.74599,2.7,0.81573,1.13
6,Guangdong,11.169,8.970523,2.5,11.32035,5.13
7,Guangxi,4.885,1.852326,2.2,1.61513,5.65
8,Guizhou,3.58,1.354083,3.2,1.61384,3.71
9,Hainan,0.926,0.446254,2.3,0.67411,5.54
10,Hebei,7.52,3.401632,3.7,3.23383,2.34
11,Heilongjiang,3.789,1.590268,4.2,1.24331,4.32
12,Henan,9.559,4.455283,2.8,3.40722,2.15
13,Hubei,5.902,3.547809,2.6,3.24832,3.84
14,Hunan,6.86,3.390296,4,2.75782,4.78
15,Inner Mongolia,2.529,1.609621,3.6,1.70321,2.1
16,Jiangsu,8.029,8.586976,3,8.17153,1.58
17,Jiangxi,4.622,2.000631,3.3,2.24706,6
18,Jilin,2.717,1.494453,3.5,1.21091,4.04
19,Liaoning,4.369,2.340924,3.8,2.39277,3.82
20,Ningxia,0.682,0.344356,3.9,0.41759,1.19
21,Qinghai,0.598,0.262483,3.1,0.2462,0.56
22,Shaanxi,3.835,2.189881,3.3,2.00669,4.14
23,Shandong,10.006,7.263415,3.4,6.09863,1.67
24,Shanghai,2.418,3.063299,3.9,6.64226,1.07
25,Shanxi,3.702,1.552842,3.4,1.867,1.8
26,Sichuan,8.302,3.698022,4,3.57799,3.52
27,Tianjin,1.557,1.854919,3.5,2.31036,0.99
28,Tibet,0.337,0.131092,2.7,0.18583,1.2
29,Xinjiang,2.445,1.088196,2.6,1.46652,0.42
30,Yunnan,4.801,1.637634,3.2,1.88617,5
31,Zhejiang,5.657,5.176826,2.7,5.80438,5.91
